Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Tropical_Other_Legume_Coarse,-15.19340901,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_Legume_Fine,-23.37973149,-6.011706935,5.518510584,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_Legume_Medium,36.90835233,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_OtherCC_Coarse,-3.746974657,-4.211980293,61.89013417,15.87765832,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Other_OtherCC_Fine,-3.720928868,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Other_OtherCC_Medium,-3.720928868,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Soybean_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Soybean_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Soybean_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Vegetable_Grass_Coarse,-45.36755067,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Grass_Fine,-45.06837742,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Grass_Medium,-45.06837742,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Legume_Coarse,63.47226786,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_Legume_Fine,6.421572383,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_Legume_Medium,22.20448911,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_OtherCC_Coarse,0.225962834,-4.211980293,37.33240524,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Vegetable_OtherCC_Fine,0.225962834,-5.286237158,24.3652817,20.42249853,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Vegetable_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Wheat_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Wheat_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Wheat_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
